schedule_family,scheduler,n_steps,dataset_group,size_group,scheduler_label,scheduler_variant_label,metric,metric_label,direction,mean,ci95,n
condmarg,entropic_log1p,5,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,95.1956684366862,0.41242771707165193,150
condmarg,entropic_log1p,5,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,10.024666945139566,1.0514236595947273,150
condmarg,entropic_log1p,5,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,10.024666945139566,1.0514236595947273,150
condmarg,entropic_log1p,5,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,150
condmarg,entropic_log1p,5,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,10.890962651995942,0.7862998569131245,150
condmarg,entropic_log1p,5,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,89.32865384674072,0.7670049097832187,150
condmarg,entropic,10,All,Large,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,90.2604290262858,0.6750918435672607,150
condmarg,entropic,10,All,Large,Entropic,Entropic · cond-marg,diversity,Diversity,higher,4.529704971710841,0.7225982012432028,150
condmarg,entropic,10,All,Large,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,4.529704971710841,0.7225982012432028,150
condmarg,entropic,10,All,Large,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,150
condmarg,entropic,10,All,Large,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,21.777650665574086,1.567834332728665,150
condmarg,entropic,10,All,Large,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,90.21643072891237,0.6846005590162488,150
condmarg,entropic_log1p,10,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,96.4807256189982,0.1369449095412121,150
condmarg,entropic_log1p,10,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,11.730104802449544,1.2090032750034865,150
condmarg,entropic_log1p,10,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,11.730104802449544,1.2090032750034865,150
